metric,sex,N50,L50,n_notigs,total_length,BUSCO_complete,BUSCO_single,BUSCO_double,BUSCO_fragmented,,,,,,,,
a0,female,15048,,,,0.926,0.033,0.893,0.03,,,,,,,,
a1,female,418614,264,1805,436920153,0.89,0.874,0.016,0.011,,,,,,,,
a2,female,1392224,80,1012,436999453,0.859,0.844,0.015,0.031,,,,,,,,
a3,female,4383157,26,515,437264453,0.895,0.88,0.015,0.008,,,,,,,,
a4,female,14850352,13,376,437273953,0.893,0.877,0.016,0.008,,,,,,,,
a0,male,11604,,,,0.904,0.034,0.87,0.04,,,,,,,,
a1,male,353581,324,2086,471831811,0.88,0.795,0.085,0.015,,,,,,,,
a2,male,1188596,106,1106,471929811,0.885,0.805,0.08,0.011,,,,,,,,
a3,male,2749144,38,705,472145811,0.882,0.805,0.077,0.011,,,,,,,,
a4,male,12200365,15,549,472157411,0.884,0.812,0.072,0.01,,,,,,,,